// [name][damage][count][typeValue][isPhysical]
// 技名 ダメージ 最大使用回数 属性(1-5) 物理0/特殊1 命中率（今全て50%です）
// の順で技を追加してください。 
// [注意] 間に空白を開けると正しくパースできません。
かえんぐるま,60,25,1,0,50
ほのおのパンチ,75,15,1,0,50
フレアドライブ,120,15,1,0,50
Vジェネレート,180,5,1,0,50
オーバーヒート,130,5,1,1,50
かえんだん,100,5,1,1,50
かえんほうしゃ,90,15,1,1,50
クロスフレイム,100,5,1,1,50
はっぱカッター,55,25,3,0,50
はなふぶき,90,15,3,0,50
ドラムアタック,80,10,3,0,50
ソーラーブレード,125,10,3,0,50
グラスミキサー,65,10,3,1,50
くさのちかい,80,10,3,1,50
エナジーボール,90,10,3,1,50
リーフストーム,130,5,3,1,50
たきのぼり,80,15,2,0,50
ダイビング,80,10,2,0,50
アクアブレイク,85,10,2,0,50
アクアテール,90,10,2,0,50
みずのはどう,60,20,2,1,50
バブルこうせん,65,20,2,1,50
なみのり,90,15,2,1,50
ハイドロポンプ,110,5,2,1,50
スパーク,65,20,4,0,50
かみなりパンチ,75,15,4,0,50
クロスサンダー,100,5,4,0,50
ボルテッカー,120,15,4,0,50
エレキネット,55,15,4,1,50
でんげきは,60,20,4,1,50
10万ボルト,90,15,4,1,50
かみなり,110,10,4,1,50
シャドーパンチ60,20,5,0,50
かげぬい,80,10,5,0,50
かみくだく,80,15,15,0,50
イカサマ,95,15,5,0,50
あくのはどう,80,15,5,1,50
シャドーボール,80,15,5,1,50
もえあがるいかり,90,10,5,1,50
シャドーレイ,100,5,5,1,50
